NodeID,PageRankValue
node_1,5.531616503126896e-05
node_2,0.00010244363367701419
0,5.531616503126896e-05
747,0.00010244363367701419
1,5.531616503126896e-05
4257,0.00043259510031527993
2194,0.0001044613613258076
580,6.002891189584349e-05
6478,0.0007928937667131772
1222,7.573806811109189e-05
5735,0.00022340549367195033
7146,0.00011448715188438536
2204,0.00013037260783290412
126,6.002891189584349e-05
2639,0.00010715638054158872
2,5.531616503126896e-05
562,7.383052771352601e-05
1492,9.047270108910872e-05
6,6.204866055208971e-05
5303,0.00015938293767922567
7128,0.00022555654750731113
4154,0.00011562081962068691
5179,8.797305684584416e-05
3,5.531616503126896e-05
1728,5.7934357733810366e-05
4560,0.00024228524313073897
5060,0.0003853519096584524
1351,8.629908549101786e-05
6503,0.00025042276631556556
7089,0.0006745379138258341
4319,0.00024267638870096006
6095,0.00037608088906976685
272,8.149809205668298e-05
4433,0.0002119279855626913
2900,0.00010506182637955558
3381,0.00010494944659120817
5943,0.00013560670573684738
2107,7.034846558843944e-05
6940,0.0005060500481939503
2013,7.751352395678588e-05
6046,0.0002933155734651737
5823,0.0004344002705195998
4,5.531616503126896e-05
5770,0.00011572049267034618
5,5.531616503126896e-05
5454,0.001119967048435353
5856,0.00030846204734049715
667,8.804918640886137e-05
6180,0.0002701600404349809
598,5.809860983871335e-05
870,6.304808787213854e-05
3079,8.872882533093297e-05
1834,0.00010641231722285364
6283,0.00014394567893791108
7340,0.00029649704600312845
7279,0.000623353287583118
342,5.809860983871335e-05
4405,5.809860983871335e-05
1462,0.00018300829282945165
1284,7.907017622749008e-05
1551,0.00011484558585868167
3291,6.361771586347738e-05
167,5.809860983871335e-05
7,5.531616503126896e-05
177,6.120709861198712e-05
6243,6.120709861198712e-05
7589,0.0006490057979472061
2854,0.0008516888626500059
6931,0.00018334841029144628
6250,0.00024100198581834066
428,6.120709861198712e-05
2142,0.00012404372347298075
8,5.531616503126896e-05
1686,0.00010244363367701419
9,5.531616503126896e-05
4481,6.120709861198712e-05
